imu_ax, imu_ay, odom_vx, odom_w, enc_x, enc_y, enc_th, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, kf_th, stamp, 
-0.06131310153678419, 0.009703021773542509, 4.0125356344529776e-06, -9.733815696556948e-07, -1.2943416924889715, 4.053700795332753, -1.1943630017201203, -0.05439020010511556, 2.5811937264582996e-08, -0.0030867294216675454, -8.36222866941107e-06, -1.294256576950406, 4.053485490343337, -1.1943586058410858, 76778000000, 
-0.03865468033915925, 0.009607802639996702, 8.724120312581693e-07, -1.0652801298520368e-06, -1.294341687267537, 4.053700780867075, -1.1943631042520406, -0.047913200823668005, 2.491378929661865e-08, -0.0029537368661372906, -8.434667821036922e-06, -1.2942610678515793, 4.053496851691838, -1.1943594045159172, 76873000000, 
-0.025450326040407506, 0.02017674152817039, 1.5867841395746826e-06, -1.1118288136414029e-06, -1.2943416980634341, 4.053700806278468, -1.1943631931141883, -0.038812440256849365, 3.611469191346559e-08, -0.0027532529135421537, -1.311709931762237e-05, -1.2942720097288216, 4.053524532920025, -1.194360583192282, 76978000000, 
-0.029727461180266663, 0.002929635873398184, 3.6682468729841524e-06, -9.225223771079815e-07, -1.2943416838911885, 4.053700768739443, -1.1943632915440596, -0.03499440020913657, 1.5946256187210247e-08, -0.002335864377064155, -6.826704642523978e-06, -1.2942844447083144, 4.053555991286524, -1.1943614506935463, 77073000000, 
-0.0938722402607986, -0.016013176897069863, 8.632301150173627e-07, -1.062916221627545e-06, -1.2943416827580967, 4.05370076632157, -1.194363362118595, -0.057601635252709865, -7.045657399461995e-09, -0.002801636600727103, 2.514836291628061e-06, -1.2942667230076939, 4.053511159046893, -1.1943615454879337, 77168000000, 
-0.0775032354051772, -0.011823559382314176, 1.5768159489770111e-06, -1.0517627250747572e-06, -1.29434169172222, 4.05370078710201, -1.1943634518693345, -0.06490005871389389, -1.9483558778809276e-08, -0.003588998801389416, 5.428689129477159e-06, -1.2942411467328212, 4.053446455840083, -1.1943610985919864, 77273000000, 
-0.0516480038604474, 0.009826511026617671, 3.6582483477288428e-06, -9.389861696359349e-07, -1.2943416779371717, 4.0537007505516955, -1.1943635486247166, -0.05928353510882116, 1.447689044263936e-08, -0.003659621487354316, -3.955843655597638e-06, -1.2942375177256695, 4.0534372753055665, -1.1943611391064333, 77373000000, 
-0.05275151952285527, 0.005591323108867846, 4.232815533230004e-06, -8.609827003344104e-07, -1.2943416806356365, 4.053700757079348, -1.1943636452111324, -0.056300017591797306, 1.8491876920742606e-08, -0.0035529372172477345, -5.204673145073824e-06, -1.2942409662135852, 4.053445999375617, -1.1943616120441822, 77473000000, 
-0.034602669673947394, 0.006196607905547318, 3.6483772368087175e-06, -9.316232196368297e-07, -1.294341672988383, 4.053700734922259, -1.1943638038565316, -0.047502622588386556, 1.8090578098897258e-08, -0.0030325549275514122, -5.96545768537957e-06, -1.294254318797546, 4.053479779182541, -1.1943621246179867, 77563000000, 
-0.06392043458540889, -0.014631200831301221, 4.223062313143984e-06, -8.57209461027844e-07, -1.294341676056056, 4.05370074238387, -1.194363899939019, -0.053589459492234384, -1.1602137741027255e-08, -0.0028667558469050794, 4.047131447748787e-06, -1.2942557570271516, 4.0534834175924646, -1.1943620867864246, 77649000000, 
